,LM number,Bone words,Region words,Data point,By Bone 14,By Bone (joining exoccipital+prootic) 12,By Region 19,Functional regions 6,Caecilian modules (FP in Fr) 9,Caecilian modules (FP in Pa) 10,Variably vs always present,Ossification sequence rank,"Simon+Marroig 2017 Functional 1 (NA: R, FP: R)","Simon+Marroig 2017 Functional 2 (NA: R, FP: N)","Simon+Marroig 2017 Functional 3 (NA: R, FP: Su)","Simon+Marroig 2017 Functional 4 (NA: Sn, FP: R)","Simon+Marroig 2017 Functional 5 (NA: Sn, FP: N)","Simon+Marroig 2017 Functional 6 (NA: Sn, FP: Su)","Pierkarski 1 (PS_sph: M, FP: H)","Pierkarski 2 (PS_sph: M, FP: M)","Pierkarski 3 (PS_sph: M, FP: B)","Pierkarski 4 (PS_sph: H, FP: H)","Pierkarski 5 (PS_sph: H, FP: M)","Pierkarski 6 (PS_sph: H, FP: B)","Vidal-Garcia 1. Snout: tip of the snout and the olfactory area (premaxilla, maxilla, and nasal),(I included Neo and Vo in snout too) 2: rest. ","Vidal-Garica 2: 1. dorsal, 2. ventral","Vidal-Garica 3: 1. snout, 2. rest, 3. squamosal","Vidal-Garcia 4: 1. snout, 2. posterior 3. medial","Vidal-Garcia 5: 1. snout, 2. rest, 3. brain region (dorsal sphenethemoid, exoccipital, frontoparietal)"
C10,92,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C10,93,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C10,94,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C10,95,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C10,96,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C10,97,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C10,98,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C10,99,Parasphenoid,Parasphenoid,PS: Following bone margin: 10,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C11,100,Parasphenoid,Parasphenoid,PS: Following bone margin: 6,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C11,101,Parasphenoid,Parasphenoid,PS: Following bone margin: 6,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C11,102,Parasphenoid,Parasphenoid,PS: Following bone margin: 6,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C11,103,Parasphenoid,Parasphenoid,PS: Following bone margin: 6,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C11,104,Parasphenoid,Parasphenoid,PS: Following bone margin: 6,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C11,105,Parasphenoid,Parasphenoid,PS: Following bone margin: 6,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C12,106,Parasphenoid,Parasphenoid,PS: Following bone margin: 4,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C12,107,Parasphenoid,Parasphenoid,PS: Following bone margin: 4,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C12,108,Parasphenoid,Parasphenoid,PS: Following bone margin: 4,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C12,109,Parasphenoid,Parasphenoid,PS: Following bone margin: 4,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C13,110,Parasphenoid,Parasphenoid,PS: Following bone margin: 5,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C13,111,Parasphenoid,Parasphenoid,PS: Following bone margin: 5,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C13,112,Parasphenoid,Parasphenoid,PS: Following bone margin: 5,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C13,113,Parasphenoid,Parasphenoid,PS: Following bone margin: 5,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C13,114,Parasphenoid,Parasphenoid,PS: Following bone margin: 5,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C14,115,Parasphenoid,Parasphenoid,PS: Following bone margin: 4,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C14,116,Parasphenoid,Parasphenoid,PS: Following bone margin: 4,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C14,117,Parasphenoid,Parasphenoid,PS: Following bone margin: 4,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C14,118,Parasphenoid,Parasphenoid,PS: Following bone margin: 4,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,119,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,120,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,121,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,122,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,123,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,124,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,125,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,126,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,127,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,128,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,129,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C15,130,Parasphenoid,Parasphenoid,PS: Anteriorly along midline: 12,3,3,3,2,3,3,1,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2
C16,131,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C16,132,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C16,133,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C16,134,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
C16,135,Pterygoid,Pterygoid,Pt: Following margin of ventral bone surface: 5,5,5,5,3,5,5,1,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2
